date,open,high,low,close
12-03-2018,488.5,492.75,483,490
09-03-2018,499.25,499.25,486,490.25
08-03-2018,497.5,502.5,490.25,499.25
07-03-2018,506,509.75,496,497.5
06-03-2018,507,507.5,495.5,506
05-03-2018,507.75,510.25,495.25,507
02-03-2018,516,518.5,493.25,499
01-03-2018,495.5,517.75,489.5,516
28-02-2018,477.5,499.5,476.5,492.5
27-02-2018,473.75,479,473.5,477.5
26-02-2018,468.75,476.75,467.75,473.75
23-02-2018,450.75,456.25,450.75,452
22-02-2018,447.5,451.75,445.25,450.75
21-02-2018,449.25,452,445.5,447.5
20-02-2018,458,463.25,449,449.25
19-02-2018,458,458,458,458
18-02-2018,458,458,458,458
16-02-2018,461.5,464.5,456.75,458
15-02-2018,455.25,463.5,452.25,461.5
14-02-2018,458.25,460.5,453.75,454.75
13-02-2018,464.25,467.25,459,459.25
12-02-2018,452.5,465,451.5,464.25
09-02-2018,456.5,456.5,448.25,449.25
08-02-2018,461,464.5,451.5,456.5
07-02-2018,446.75,461.75,446.75,461
06-02-2018,442,447.75,438.75,446.75
05-02-2018,447,447,438.75,442
04-02-2018,447,447,447,447
02-02-2018,451.25,451.25,445,447
01-02-2018,451.5,451.5,443.25,451.25
31-01-2018,458,458.75,447.5,451.5
30-01-2018,449,458.25,449,458
29-01-2018,443.5,449.75,443.5,449
26-01-2018,434.25,442.5,434.25,442.25
25-01-2018,432.5,438.75,429.5,434.25
24-01-2018,421.75,433.75,420.75,432.5
23-01-2018,425.5,425.5,419.75,421.75
22-01-2018,424.25,427.5,423.25,425.5
19-01-2018,425.5,427.25,421.5,423.25
18-01-2018,421.5,425.75,421.25,424.75
17-01-2018,416.25,423,415.5,421.5
16-01-2018,420.75,422.5,413.25,416.25
12-01-2018,433.75,436,418.75,420.75
11-01-2018,434,434.25,428.75,433.75
10-01-2018,431.75,435,431.5,434
09-01-2018,427,433.75,425.5,431.75
08-01-2018,430.25,432.25,425.75,427
05-01-2018,433.5,433.75,427.5,431
04-01-2018,435,436,431,433.5
03-01-2018,434.25,437,432,435
02-01-2018,429.5,436,429.5,434.25
29-12-2017,426.75,428,424,427.5
28-12-2017,427.25,428.5,425.25,426.75
27-12-2017,422.25,428.25,420.75,427.25
26-12-2017,424.75,426.75,420.75,422.25
22-12-2017,426.75,429,424.5,424.75
21-12-2017,424,427.5,423,427
20-12-2017,419.5,424.5,416.38,423
19-12-2017,421,424,419.5,420
18-12-2017,420.75,423.5,419.5,420.75
15-12-2017,419,421.5,415.5,418
14-12-2017,417.5,420.75,416.25,417.75
13-12-2017,411.5,417.25,411.5,417.25
12-12-2017,413.5,418.75,411.25,411.25
11-12-2017,417.75,418.75,411,413.25
08-12-2017,420.5,424.62,418,419
07-12-2017,425,425.75,419.75,421.25
06-12-2017,432.25,433.62,424.75,425.5
05-12-2017,435.5,436.12,431.25,432
04-12-2017,439.5,442.75,435,435.25
01-12-2017,432.5,438.75,432.25,438.75
30-11-2017,436,439,430.75,434.38
29-11-2017,429.75,435.5,429.5,434.75
28-11-2017,429.25,431.25,424.5,429.5
27-11-2017,415.5,416,409.12,409.12
24-11-2017,420.5,422,412.75,416
22-11-2017,424.75,426.38,421,422.25
21-11-2017,421.75,428.75,420.5,424.5
20-11-2017,427.25,427.25,419.5,422.12
17-11-2017,421.62,428,421.5,427.75
16-11-2017,420.75,424.5,419.75,421.5
15-11-2017,427.5,428.25,418.25,419.25
14-11-2017,425,429.5,423.5,428
13-11-2017,431.75,432,422.5,423.75
10-11-2017,430,434.25,427.25,431.75
09-11-2017,426,432.25,424.25,428.75
08-11-2017,426.75,427.5,419,426.5
07-11-2017,429.75,431,424.25,427
06-11-2017,427.75,431.25,427.5,431
03-11-2017,427.5,429,422.5,425.25
02-11-2017,418.25,426.5,418.25,425.75
01-11-2017,418.75,422,416.62,418.5
31-10-2017,425.5,426.5,416.5,418.5
30-10-2017,426.75,428,422.75,425.25
27-10-2017,431,431.25,425.25,427
26-10-2017,435.5,437.5,431.25,431.75
25-10-2017,438.5,443,434,435
24-10-2017,437.5,438.88,433.25,437.75
23-10-2017,425.75,438.25,424,437.25
20-10-2017,433.25,435.75,425.25,425.88
19-10-2017,430.25,436.25,429.75,432.75
18-10-2017,435,435.25,429.25,430
17-10-2017,436.5,440.75,433.75,434.75
16-10-2017,440.25,442.75,435.75,436.25
13-10-2017,431.25,441,430.75,439.75
12-10-2017,433.25,437.75,428.5,430.25
11-10-2017,435.25,435.5,430,433.5
10-10-2017,436.38,439.75,434.25,435.88
09-10-2017,445,445.75,435.75,436
06-10-2017,441.5,444.75,439,444
05-10-2017,442.75,444.25,438.25,441.25
04-10-2017,449,449.25,441.75,442.5
03-10-2017,443.75,450.5,443.5,448.5
02-10-2017,445,448.62,439.75,444.75
29-09-2017,455,459,446.5,448.25
28-09-2017,461.25,462,454.12,454.75
27-09-2017,454,462.75,449.25,461.5
26-09-2017,454.25,460.75,452,453.5
25-09-2017,446.38,454.75,444.25,454
22-09-2017,452.5,454.88,448.25,449.5
